sample_index,sampled_at,elapsed_seconds,sample_elapsed_ms,listener_pid,process_name,process_started_at,process_command_line,working_set_bytes,private_bytes,handle_count,thread_count,process_error,national_requested,national_observed_at,national_status,national_latency_ms,national_etag,national_conditional_request,national_conditional_status,national_conditional_304,national_conditional_refresh_200,national_schema_version,national_event_count,national_warning_count,national_storm_count,national_source_health_count,national_radar_frame_count,national_satellite_frame_count,national_product_count,national_city_rank_count,national_error,radar_requested,radar_observed_at,radar_status,radar_latency_ms,radar_etag,radar_conditional_request,radar_conditional_status,radar_conditional_304,radar_conditional_refresh_200,radar_active_storm_id,radar_storm_count,radar_boss_count,radar_warning_count,radar_wind_vector_count,radar_error,request_in_flight_peak,schedule_overrun_ms
0,2026-07-15T04:01:55.312Z,0,999,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1299660800,3265413120,409,47,,true,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:01:56.293Z,200,17,"""678522b87936b5d15e337e4afe514e8f1676efc4""",false,304,true,false,,0,0,0,,,1,0
1,2026-07-15T04:02:05.324Z,10,830,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1305690112,3271876608,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:06.145Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
2,2026-07-15T04:02:15.315Z,20,817,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1306214400,3272409088,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:16.124Z,304,9,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
3,2026-07-15T04:02:25.324Z,30,853,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1306411008,3272675328,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:26.167Z,304,11,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
4,2026-07-15T04:02:35.317Z,40,838,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1307262976,3273482240,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:36.146Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
5,2026-07-15T04:02:45.324Z,50,823,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1307459584,3273752576,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:46.137Z,304,9,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
6,2026-07-15T04:02:55.310Z,60,797,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1307721728,3274018816,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:02:56.095Z,304,12,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
7,2026-07-15T04:03:05.312Z,70,856,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309818880,3276087296,409,46,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:06.158Z,304,9,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
8,2026-07-15T04:03:15.325Z,80,852,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309798400,3276050432,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:16.167Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
9,2026-07-15T04:03:25.322Z,90,864,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309798400,3276050432,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:26.176Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
10,2026-07-15T04:03:35.310Z,100,866,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309798400,3276050432,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:36.166Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
11,2026-07-15T04:03:45.319Z,110,867,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309863936,3276115968,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:46.176Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
12,2026-07-15T04:03:55.311Z,120,840,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309863936,3276115968,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:03:56.141Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
13,2026-07-15T04:04:05.311Z,130,856,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309863936,3276115968,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:06.157Z,304,10,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
14,2026-07-15T04:04:15.317Z,140,808,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309868032,3276115968,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:16.114Z,304,11,"""678522b87936b5d15e337e4afe514e8f1676efc4""",true,304,true,false,,0,0,0,,,1,0
15,2026-07-15T04:04:25.317Z,150,874,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1309868032,3276115968,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:26.160Z,200,30,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,true,,0,0,0,,,1,0
16,2026-07-15T04:04:35.325Z,160,800,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311834112,3278090240,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:36.114Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
17,2026-07-15T04:04:45.314Z,170,791,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311834112,3278090240,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:46.095Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
18,2026-07-15T04:04:55.311Z,180,757,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311834112,3278090240,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:04:56.058Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
19,2026-07-15T04:05:05.318Z,190,798,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311834112,3278090240,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:06.106Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
20,2026-07-15T04:05:15.322Z,200,779,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311899648,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:16.092Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
21,2026-07-15T04:05:25.320Z,210,820,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311899648,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:26.130Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
22,2026-07-15T04:05:35.316Z,220,811,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311895552,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:36.117Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
23,2026-07-15T04:05:45.321Z,230,805,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311891456,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:46.116Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
24,2026-07-15T04:05:55.314Z,240,841,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311891456,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:05:56.145Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
25,2026-07-15T04:06:05.312Z,250,829,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1311891456,3278155776,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:06:06.130Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
26,2026-07-15T04:06:15.319Z,260,776,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1312350208,3279024128,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:06:16.086Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
27,2026-07-15T04:06:25.315Z,270,838,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1313267712,3279831040,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:06:26.143Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
28,2026-07-15T04:06:35.315Z,280,778,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1313271808,3279831040,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:06:36.083Z,304,11,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
29,2026-07-15T04:06:45.317Z,290,827,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1313308672,3281711104,409,45,,false,2026-07-15T04:01:56.207Z,200,79,"""c0952ea70aac49a90092d6a7d8222d2b82ea51dd2917557a7fd8bfdc595fb562""",false,304,true,false,1,1114,1113,0,6,12,12,26,,,true,2026-07-15T04:06:46.135Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
30,2026-07-15T04:06:55.319Z,300,906,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1314783232,3282518016,409,45,,true,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:06:56.193Z,304,32,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
31,2026-07-15T04:07:05.315Z,310,850,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1030774784,1080541184,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:06.155Z,304,10,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
32,2026-07-15T04:07:15.321Z,320,817,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1030856704,1080553472,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:16.128Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
33,2026-07-15T04:07:25.322Z,330,832,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1031581696,1081032704,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:26.144Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
34,2026-07-15T04:07:35.320Z,340,810,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1034256384,1081683968,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:36.119Z,304,11,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
35,2026-07-15T04:07:45.322Z,350,798,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1034674176,1081856000,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:46.111Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
36,2026-07-15T04:07:55.316Z,360,851,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1034719232,1081896960,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:07:56.159Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
37,2026-07-15T04:08:05.313Z,370,818,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1034764288,1081929728,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:06.120Z,304,11,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
38,2026-07-15T04:08:15.319Z,380,811,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1034850304,1082036224,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:16.122Z,304,9,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
39,2026-07-15T04:08:25.322Z,390,799,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1035866112,1083060224,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:26.110Z,304,11,"""05b3b996d5041ea70370016bb4cb1912ff709b45""",true,304,true,false,,0,0,0,,,1,0
40,2026-07-15T04:08:35.318Z,400,841,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1035943936,1083146240,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:36.131Z,200,28,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,true,,0,0,0,,,1,0
41,2026-07-15T04:08:45.319Z,410,827,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1035997184,1083203584,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:46.136Z,304,10,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,false,,0,0,0,,,1,0
42,2026-07-15T04:08:55.321Z,420,796,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1036025856,1083232256,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:08:56.107Z,304,10,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,false,,0,0,0,,,1,0
43,2026-07-15T04:09:05.314Z,430,772,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1036034048,1083240448,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:09:06.076Z,304,10,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,false,,0,0,0,,,1,0
44,2026-07-15T04:09:15.323Z,440,785,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1036054528,1083260928,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:09:16.098Z,304,10,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,false,,0,0,0,,,1,0
45,2026-07-15T04:09:25.310Z,450,775,17352,node,2026-07-15T03:50:49.6682453Z,"""C:\Program Files\nodejs\node.exe"" ""D:\typhoon boss radar\node_modules\next\dist\server\lib\start-server.js""",1036062720,1083269120,409,45,,false,2026-07-15T04:06:56.119Z,200,52,"""711c88f7c161d050f5bf2a8d7cd4245d1633a69d5ca5c8deb5b0cb1cfe759281""",true,304,true,true,1,1112,1111,0,6,12,12,26,,,true,2026-07-15T04:09:26.075Z,304,11,"""5b3eed5a939b3490edb7e1e671fef3bd32803d02""",true,304,true,false,,0,0,0,,,1,0
